151,Males,56,Education,1998
152,Males,na,Applied Arts,1998
153,Males,547,Humanities & Social Sciences,1998
154,Males,27,Mass Communication,1998
155,Males,264,Accountancy,1998
156,Males,461,Business & Administration,1998
157,Males,70,Law,1998
158,Males,422,"Natural, Physical & Mathematical Sciences",1998
159,Males,106,Medicine,1998
160,Males,24,Dentistry,1998
161,Males,8,Health Sciences,1998
162,Males,377,Information Technology,1998
163,Males,141,Architecture & Building,1998
164,Males,1952,Engineering Sciences,1998
165,Males,na,Services,1998
166,Females,133,Education,1998
167,Females,na,Applied Arts,1998
168,Females,1547,Humanities & Social Sciences,1998
169,Females,74,Mass Communication,1998
170,Females,487,Accountancy,1998
171,Females,869,Business & Administration,1998
172,Females,103,Law,1998
173,Females,678,"Natural, Physical & Mathematical Sciences",1998
174,Females,42,Medicine,1998
175,Females,12,Dentistry,1998
176,Females,69,Health Sciences,1998
177,Females,296,Information Technology,1998
178,Females,153,Architecture & Building,1998
179,Females,413,Engineering Sciences,1998
180,Females,na,Services,1998
